StartLotKey,WaferId,P_02281_P,P_04928_P,P_05104_P,P_05844_P,P_06198_P,P_06199_P,P_08812_P,P_09320_P,P_09357_P,P_09360_P,P_09366_P,P_09851_P,P_10334_P,P_15926_P,P_16779_P,P_16780_P,P_16874_P,P_16875_P,P_16969_P,P_18071_P,P_00037_P,P_00065_P,P_00097_P,P_00125_P,P_00169_P,P_00863_P,P_00864_P,P_00881_P,P_00882_P,P_03186_P,P_03233_P,P_04800_P,P_05602_P,P_08907_P,P_09529_P,P_00862_P,P_07882_P,Label
4135643,5643-24,0.348,-5340.8,3238.4,0.58,97.413,97.058,0.25,0.184,85.357,86.153,85.959,-0.018,114.375,0.336,-33.472,-31.448,-728.788,-687.8,-92.525,525.2,14.941,35.285,31.19,16.148,31.05,319.015,208.551,0.339,0.57,21.595,24.307,5.983,650.5,-378.05,-430.6,56733600000,903.1,Low
4140223,0223-16,0.368,-3030.79,3062.2,0.649,98.468,93.815,0.38,0.209,85.51,85.549,87.55,-0.04,101.969,0.34,-33.333,-31.516,-726.263,-693.2,-91.023,477.5,16.721,37.319,34.238,16.595,36.001,233.656,214.47,0.597,0.802,21.704,24.342,6.264,593.05,-348.9,-437,81682700000,837.1,Low
4173913,3913-11,0.356,-4027.66,3162.4,0.642,99.37,98.646,0.52,0.191,85.228,86.852,88.753,-0.03,99.203,0.359,-32.348,-30.376,-701.894,-664.6,-89.343,468.2,15.912,35.328,30.564,16.819,31.158,275.434,225.104,0.142,0.282,21.604,24.318,6,598.85,-1565.5,-417.5,82678800000,827,Low
4140233,0233-16,0.356,-3954.58,3159.8,0.654,95.758,96.354,0.546,0.219,87.128,87.008,89.019,-0.022,104.984,0.337,-32.21,-29.666,-700.505,-653.6,-82.487,477.6,17.098,38.945,33.195,17.698,33.667,304.521,214.848,0.13,0.136,21.069,24.149,5.659,598,-325.35,-431.3,1.21065E+11,840.1,Low
4135643,5643-17,0.34,-6156.06,3320.4,0.589,97.838,99.83,0.112,0.183,84.67,85.331,87.219,-0.012,116.344,0.331,-35.758,-33.586,-780.556,-735.4,-108.232,522.5,15.78,37.095,31.551,16.491,33.372,247.032,218.593,0.772,1.153,21.52,24.287,6.091,715.95,-394.95,-442.7,1.22156E+11,899,Low
4140223,0223-22,0.35,-4048.67,3050,0.644,96.688,93.998,0.739,0.183,86.873,85.394,87.548,-0.05,103.875,0.338,-33.106,-31.12,-721.212,-680.6,-90.467,471.2,16.66,39.75,34.157,16.531,34.458,332.132,212.559,0.326,0.35,20.97,24.23,5.1,604.15,-328.3,-431.1,1.35593E+11,831.4,Low
4173913,3913-17,0.35,-3992.5,3217,0.64,100.031,101.187,0.957,0.178,85.868,87.014,88.364,-0.024,100.094,0.359,-17.854,-29.782,-298.485,-648.4,-90.354,467,16.419,34.564,31.521,16.785,31.72,280.773,223.245,0.038,0.082,21.551,24.228,6.152,558.1,-1545,-419.4,1.45799E+11,824.2,Low
4173913,3913-21,0.356,-4228.41,3173.4,0.66,97.377,97.762,0.418,0.186,86.437,86.05,87.566,-0.029,100.984,0.354,-32.626,-30.124,-707.197,-659.6,-87.475,468.8,17.235,42.249,32.703,17.808,32.587,284.513,217.227,0.092,0.154,21.592,24.296,6.044,579.2,-1572,-421.1,1.05932E+11,826.8,Low
4140223,0223-12,0.36,-3758.31,3141.8,0.654,96.589,92.268,0.531,0.189,86.798,85.372,87.561,-0.039,97.922,0.336,-33.245,-31.318,-724.621,-685.2,-91.591,471.4,15.836,39.236,33.296,15.403,34.567,236.329,210.172,0.382,0.427,21.631,24.334,6.041,635.95,-356.55,-432.9,87479500000,830.4,Low
4140233,0233-24,0.36,-3687.95,3041.4,0.632,99.156,97.383,1.283,0.199,84.856,85.567,88.641,-0.022,107.109,0.337,-33.409,-31.268,-729.04,-686.2,-91.641,482.7,17.899,42.27,37.135,18.613,36.877,333.274,206.638,0.977,1.154,21.588,24.325,5.257,590.2,-318.95,-434,38740900000,844.8,Low
